id,availability,condition,title,color,description,image_link,link,price,sale_price,brand,google_product_category,InventoryStatus,IsHot,sellstart,schedule
MT1M21923CL49486,in stock,new,顯瘦前拉鍊針織平口上衣,藍,親膚針織面料/前片雙頭拉鍊設計/可單穿或疊穿造型,https://pic.pzcdn.tw/pazzo/ProductBasic/5d045de3-dbe4-4456-9446-f7429ab09cbe.jpg,https://www.pazzo.com.tw/market/n/21923?c=49486,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-07-22,20240311
MT1M21490CL48387,in stock,new,經典長方形霧金釦牛皮皮帶,黑,韓國直送/質感真皮/銅金色粗帶霧面長方形釦環/可調整鬆緊/百搭時髦配件,https://pic.pzcdn.tw/pazzo/ProductBasic/60e891fc-8a7e-46f1-9f41-e3ccb0e482b1.jpg,https://www.pazzo.com.tw/market/n/21490?c=48387,890.00 TWD,890.00 TWD,PAZZO,1604,N,N,2023-11-06,20231106
MT1M21891CL49393,in stock,new,MIT 舒適圓領長袖TEE,鐵灰,台灣製造/自訂開發布料/舒適水洗棉面料/領口袖口羅紋包覆/圓領基本百搭,https://pic.pzcdn.tw/pazzo/ProductBasic/62f9dc7e-f20e-46fc-bb2e-c7f8cbfeaa62.jpg,https://www.pazzo.com.tw/market/n/21891?c=49393,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-01-12,20240102
MT1M20505CL46098,in stock,new,小法式方領洋裝,黑,方領造型/肩帶及後領鬆緊設計/泡泡荷葉袖/有內裡/兩側有隱形口袋/高腰打摺造型/後中隱形拉鍊,https://pic.pzcdn.tw/pazzo/ProductBasic/6eae8b87-7f8d-471a-848a-3460b2ecad03.jpg,https://www.pazzo.com.tw/market/n/20505?c=46098,1090.00 TWD,1090.00 TWD,PAZZO,1604,Y,N,2022-12-12,20221212
MT1M21974CL50177,in stock,new,腰抽繩造型休閒短褲,黑,親膚衛衣面料/腰圍鬆緊帶抽繩設計/兩側有口袋/後片假口袋造型,https://pic.pzcdn.tw/pazzo/ProductBasic/6f1b9ef4-e379-4ca8-b4a6-ba1c249643e3.jpg,https://www.pazzo.com.tw/market/n/21974?c=50177,590.00 TWD,590.00 TWD,PAZZO,1604,Y,N,2024-06-24,20240513
MT1M19316CL43308,in stock,new,V領挺料針織上衣,水藍,硬挺手感針織面料/V領設計/可單穿或內搭,https://pic.pzcdn.tw/pazzo/ProductBasic/73653c4e-94ab-404f-8df8-072d6c979c9f.jpg,https://www.pazzo.com.tw/market/n/19316?c=43308,890.00 TWD,690.00 TWD,PAZZO,1604,N,N,2021-10-24,20220124
MT1M8105CL18673,in stock,new,MIT 平口寬鬆素面上衣,粉,平口/寬袖設計/領(平)口處無彈性,https://pic.pzcdn.tw/pazzo/ProductBasic/73dbf618-b5eb-4020-8e45-d683d1c4d14b.jpg,https://www.pazzo.com.tw/market/n/8105?c=18673,390.00 TWD,390.00 TWD,PAZZO,1604,N,N,2017-02-26,20170508
MT1M22475CL50895,in stock,new,拼接撞色薄料刷刷寬褲,藍,舒適薄料刷刷面料/兩側撞色包邊造型/口袋拉鍊設計/刺繡設計/腰節鬆緊帶/白色有內裡建議穿著淺色內著,https://pic.pzcdn.tw/pazzo/ProductBasic/77acf3ea-7e81-4e1a-924e-b493f5338034.jpg,https://www.pazzo.com.tw/market/n/22475?c=50895,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-07-29,20240729
MT1M21941CL49533,in stock,new,微透感立體壓紋上衣,膚,微透親膚網紗/立體紋路面料/兩側手指洞造型/立領設計,https://pic.pzcdn.tw/pazzo/ProductBasic/7fd5e1a2-4c34-4b21-81c0-5158d12dcac2.jpg,https://www.pazzo.com.tw/market/n/21941?c=49533,490.00 TWD,399.00 TWD,PAZZO,1604,N,N,2024-03-11,20240311
MT1M18885CL42276,in stock,new,& IN THING 3.0長腿西裝褲,卡其,質感西裝面料/一年四季皆可穿/內側褲口開岔造型,https://pic.pzcdn.tw/pazzo/ProductBasic/87bd2fed-5cbb-4326-96e2-74a246a7e908.jpg,https://www.pazzo.com.tw/market/n/18885?c=42276,790.00 TWD,790.00 TWD,PAZZO,1604,Y,N,2021-09-22,20210719
MT1M21777CL49125,in stock,new,Sports Club 內刷毛刺繡棉裙,可可,舒適內刷毛大絨布料/ 挺板布料與車線設計修飾身形/ 腰節鬆緊抽繩設計/後開岔設計,https://pic.pzcdn.tw/pazzo/ProductBasic/2052f1dd-0287-490e-960c-af1c72a16630.jpg,https://www.pazzo.com.tw/market/n/21777?c=49125,890.00 TWD,890.00 TWD,PAZZO,1604,N,N,2023-12-11,20231211
MT1M21997CL49692,in stock,new,馬海毛洞洞針織短毛衣,黑,磨毛感舒適馬海毛質料/ 微澎袖過袖袖長設計,https://pic.pzcdn.tw/pazzo/ProductBasic/2705b82f-6ce4-4c5b-bb1a-3cf1f60c050c.jpg,https://www.pazzo.com.tw/market/n/21997?c=49692,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-03-11,20240311
