id,availability,condition,description,image_link,link,title,price,sale_price,gtin,mpn,brand,google_product_category,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
2230122007,"available for order",new,"材質:33%尼龍64%人造棉3%彈性纖維內裡:無商品描述:7.62cm高彈力收腹腰頭/ 縫線前傾搭配小口袋設計，提升臀部視覺比例修飾腿型商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2230122007/2230122007-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=02&pp3=01&yano=2230122007&yacolor=001,輕塑腹高腰OOTD裙,"590 TWD","590 TWD",,,Airspace,,,服飾,AS,下著,,
2240122003,"available for order",new,"材質:45%尼龍55%聚酯纖維 內裡:無 產地:中國商品描述: 側附拉鏈/ 後腰附鬆緊商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2240122003/2240122003-006-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=03&pp3=06&yano=2240122003&yacolor=006,"【I'M MEME聯名】溫柔毛絨鬆緊短裙","690 TWD","690 TWD",,,Airspace,,,服飾,AS,洋裝/連身褲,,
2221823015,"available for order",new,"材質:100聚酯纖維內裡:無 產地:中國商品描述:附口袋/側開拉鍊/褲頭附鬆緊商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2221823015/2221823015-003-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=11&pp2=02&pp3=05&yano=2221823015&yacolor=003,涼感CEO顯瘦綁帶直筒西裝褲,"790 TWD","624 TWD",,,Airspace,,,"AIR SPACE LADY",OL,下著,,特價品
2241829007,"available for order",new,"材質:100%尼龍內裡:無 產地:中國商品描述:寬鬆版型 商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2241829007/2241829007-002-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=02&yano=2241829007&yacolor=002,寬鬆毛絨針織短版上衣,"790 TWD","790 TWD",,,Airspace,,,服飾,OL,上身,,
2311821002,"available for order",new,"材質:60%聚酯纖維 40%人造棉 內裡:無 產地:中國商品描述:寬鬆版型/右側有釦子可扣側邊變化不同穿搭造型/舒適不易皺面料材質/省去熨燙的過程，一整天也不易產生皺痕，把時間留給生活商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2311821002/2311821002-002-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=11&pp2=01&pp3=03&yano=2311821002&yacolor=002,不易皺寬鬆長版襯衫,"790 TWD","790 TWD",,,Airspace,,,"AIR SPACE LADY",OL,上身,,
2230129009,"available for order",new,"材質:42%壓克力纖維28%尼龍30%聚酯纖維 內裡:無 產地:中國商品描述: 袖口附鬆緊/排釦設計商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2230129009/2230129009-023-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=02&yano=2230129009&yacolor=023,V領格紋排釦針織短版上衣,"690 TWD","690 TWD",,,Airspace,,,服飾,AS,上身,,
2240112010,"available for order",new,"材質:77%尼龍23%人造棉 內裡:無 產地:中國商品描述: 寬鬆版型/ 袖口附鬆緊商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2240112010/2240112010-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=07&yano=2240112010&yacolor=001,削肩鏤空毛絨針織寬鬆上衣,"790 TWD","790 TWD",,,Airspace,,,服飾,AS,上身,,
2220128007,"available for order",new,"材質:85%聚酯纖維15%彈性纖維內裡:無 產地:中國商品描述:側開拉鍊/附口袋/後腰圍附鬆緊/肩帶可調節商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2220128007/2220128007-003-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=03&pp3=02&yano=2220128007&yacolor=003,桃心領車線吊帶連身短褲,"990 TWD","990 TWD",,,Airspace,,,服飾,AS,洋裝/連身褲,,特價品
2020110021,"available for order",new,"※ 本商品上下身，分開販售，如需下身請另外選購!材質:80%尼龍纖維 20% 彈性纖維白色面料為兩種尼龍80%萊卡20% 與聚脂纖維82% 萊卡18%，不同成分有些許色差內裡:貼合止滑內裡布料 產地:中國商品描述:專利脊心集中設計 / 專利愛心矽膠止滑設計/ C型撥撥胸墊設計 / 18K金LOGO綁帶裝飾環 / 珠飾調節設計/泳裝下水後，請盡速清洗，請勿讓商品於潮濕狀態下收納，若無法立即處理，請用乾毛巾平鋪捲起，將不同顏色的泳衣分開包裝。放進收納袋時，請勿密封收納袋，避免悶住泳衣，而導致染色。詳細的清潔流程請參考吊牌說明/不同生產批次的商品會存在些許色差，如對色差較為在意者建議可跳色(花)搭配購買或至門市購買。罩杯內側直徑0.3公分內之色斑，屬生產過程之正常現象，非瑕疵範圍，且此狀況不影響穿著外觀。商品平量尺寸表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。",https://photo.airspaceonline.com/photo/2020110021/2020110021-021-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=10&pp2=03&pp3=01&yano=2020110021&yacolor=021,珠飾Y字美背爆乳比基尼(厚杯款),"1390 TWD","1390 TWD",,,Airspace,,,比基尼,AS,挑選TIPS,,特價品
2210199019,"available for order",new,"●鞋面材質：小壓紋PU●小鞋墊材質：小壓紋PU●內里材質：PU●鞋跟高：1.5 cm●商品尺寸：35~41《此款鞋版正常，請拿平時所穿尺碼選購》",https://photo.airspaceonline.com/photo/2210199019/2210199019-035-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=05&pp2=13&pp3=01&yano=2210199019&yacolor=035,金鍊套趾平底涼鞋,"1380 TWD","1380 TWD",,,Airspace,,,鞋款/配件,AS,跟高分類,,特價品
